Entrez_id	Symbol
79501	OR4F5
729759	OR4F29
254173	TTLL10
126792	B3GALT6
6339	SCNN1D
126789	PUSL1
80772	CPTP
83756	TAS1R3
643965	TMEM88B
64856	VWA1
219293	ATAD3C
55210	ATAD3A
163688	CALML6
5590	PRKCZ
199990	FAAP20
6497	SKI
11079	RER1
9651	PLCH2
127281	FAM213B
140625	ACTRT2
63976	PRDM16
27237	ARHGEF16
7161	TP73
127262	TPRG1L
148870	CCDC27
388588	SMIM1
1677	DFFB
55966	AJAP1
8514	KCNAB2
388591	RNF207
390992	HES3
83715	ESPN
80835	TAS1R1
3104	ZBTB48
148479	PHF13
90326	THAP3
23261	CAMTA1
9341	VAMP3
8863	PER3
11315	PARK7
50651	SLC45A1
765	CA6
9563	H6PD
80176	SPSB1
84275	SLC25A33
199953	TMEM201
5293	PIK3CD
64802	NMNAT1
116362	RBP7
10277	UBE4B
23095	KIF1B
5226	PGD
100526739	CENPS-CORT
5195	PEX14
23435	TARDBP
10218	ANGPTL7
29914	UBIAD1
57540	DISP3
93611	FBXO44
26270	FBXO6
374946	DRAXIN
57085	AGTRAP
284498	C1orf167
1185	CLCN6
26829	RNU5E-1
5351	PLOD1
9927	MFN2
60672	MIIP
943	TNFRSF8
7133	TNFRSF1B
55187	VPS13D
343066	AADACL4
126767	AADACL3
93190	C1orf158
390999	PRAMEF12
65121	PRAMEF1
65122	PRAMEF2
391002	PRAMEF8
729528	PRAMEF14
653619	PRAMEF15
10630	PDPN
7799	PRDM2
23254	KAZN
55092	TMEM51
114827	FHAD1
79180	EFHD2
11330	CTRC
63036	CELA2A
51032	CELA2B
23341	DNAJC16
84301	DDI2
6248	RSC1A1
23207	PLEKHM2
284723	SLC25A34
388595	TMEM82
54751	FBLIM1
23013	SPEN
149563	SRARP
1187	CLCNKA
1188	CLCNKB
26099	SZRD1
55707	NECAP2
9696	CROCC
29943	PADI1
51702	PADI3
23569	PADI4
353238	PADI6
55160	ARHGEF10L
81569	ACTL8
84966	IGSF21
127707	KLHDC7A
5081	PAX7
51154	MRTO4
54896	PQLC2
440574	MINOS1
3362	HTR6
23252	OTUD3
5322	PLA2G5
64600	PLA2G2F
127733	UBXN10
127731	VWA5B1
163933	FAM43B
978	CDA
65018	PINK1
84224	NBPF3
249	ALPL
401944	LDLRAD2
23436	CELA3B
10136	CELA3A
29092	LINC00339
998	CDC42
9923	ZBTB40
2046	EPHA8
712	C1QA
714	C1QC
713	C1QB
2048	EPHB2
23028	KDM1A
6135	RPL11
6924	ELOA
57095	PITHD1
11313	LYPLA2
57822	GRHL3
57185	NIPAL3
11123	RCAN3
400746	NCMAP
10250	SRRM1
25932	CLIC4
23585	TMEM50A
57035	RSRP1
6007	RHD
55219	MACO1
26119	LDLRAP1
57134	MAN1C1
57190	SELENON
56181	MTFR1L
2134	EXTL1
149420	PDIK1L
79927	FAM110D
51042	ZNF593
10256	CNKSR1
378807	CATSPER4
64793	CEP85
83442	SH3BGRL3
1043	CD52
79727	LIN28A
79947	DHDDS
3151	HMGN2
6195	RPS6KA1
8289	ARID1A
55650	PIGV
84243	ZDHHC18
2810	SFN
10726	NUDC
388610	TRNP1
23038	WDTC1
84065	TMEM222
84958	SYTL1
2827	GPR3
199870	FAM76A
23673	STX12
5511	PPP1R8
9473	THEMIS2
27293	SMPDL3B
55113	XKR8
93974	ATP5IF1
83667	SESN2
54797	MED18
65979	PHACTR4
1104	RCC1
54952	TRNAU1AP
115273	RAB42
26824	RNU11
10691	GMEB1
51441	YTHDF2
4985	OPRD1
2035	EPB41
10076	PTPRU
51538	ZCCHC17
347735	SERINC2
64129	TINAGL1
3061	HCRTR1
10657	KHDRBS1
