"ID"	"symbol"	"Module"	"probeset_id"	"seqname"	"strand"	"start"	"stop"	"total_probes"	"EntrezGene"
2315918	"ATAD3C"	"M2"	2315918	"chr1"	"+"	"1381162"	"1405538"	78	"219293"
2315951	"ATAD3A"	"M2"	2315951	"chr1"	"+"	"1407062"	"1470060"	405	"55210"
2316218	"CALML6"	""	2316218	"chr1"	"+"	"1840160"	"1848733"	57	"163688"
2317317	"TP73"	"M20"	2317317	"chr1"	"+"	"3470696"	"4007861"	434	"7161"
2317434	"TPRG1L"	"M2"	2317434	"chr1"	"+"	"3532909"	"3546682"	66	"127262"
2317686	"AJAP1"	"M16"	2317686	"chr1"	"+"	"4357361"	"5192986"	742	"55966"
2318086	"KCNAB2"	"M2"	2318086	"chr1"	"+"	"6051549"	"6161232"	172	"8514"
2318170	"RNF207"	""	2318170	"chr1"	"+"	"6268688"	"6281341"	116	"388591"
2318416	"THAP3"	""	2318416	"chr1"	"+"	"6684873"	"6695655"	70	"90326"
2318637	"VAMP3"	"M2"	2318637	"chr1"	"+"	"7831329"	"7841485"	70	"9341"
2318656	"PER3"	"M2"	2318656	"chr1"	"+"	"7844394"	"7929687"	244	"8863"
2319252	"SPSB1"	"M20"	2319252	"chr1"	"+"	"9352942"	"9429580"	137	"80176"
2319340	"SLC25A33"	"M2"	2319340	"chr1"	"+"	"9566524"	"9644032"	158	"84275"
2319518	"NMNAT1"	"M2"	2319518	"chr1"	"+"	"10003394"	"10047425"	68	"64802"
2319550	"RBP7"	"M2"	2319550	"chr1"	"+"	"10057317"	"10076078"	27	"116362"
2319802	"PGD"	"M20"	2319802	"chr1"	"+"	"10459583"	"10480565"	108	"5226"
2320347	"FBXO44"	"M2"	2320347	"chr1"	"+"	"11714432"	"11723378"	96	"93611"
2320392	"C1orf187"	"M20"	2320392	"chr1"	"+"	"11750884"	"11785911"	61	"374946"
2320411	"AGTRAP"	"M2"	2320411	"chr1"	"+"	"11796161"	"11810821"	52	"57085"
2320657	"MIIP"	"M20"	2320657	"chr1"	"+"	"12079319"	"12116937"	87	"60672"
2321011	"C1orf158"	"M3"	2321011	"chr1"	"+"	"12806140"	"12823847"	67	"93190"
2321040	"PRAMEF1"	""	2321040	"chr1"	"+"	"12851546"	"12856767"	32	"65121"
2321058	"PRAMEF2"	""	2321058	"chr1"	"+"	"12916925"	"12921764"	30	"65122"
2321182	"PDPN"	"M1"	2321182	"chr1"	"+"	"13852121"	"13979989"	155	"10630"
2321466	"RP1-21O18.1"	"M20"	2321466	"chr1"	"+"	"14921034"	"15394641"	450	"23254"
2321607	"RP1-21O18.1"	"M20"	2321607	"chr1"	"+"	"15416961"	"15466639"	109	"23254"
2321645	"TMEM51"	"M2"	2321645	"chr1"	"+"	"15479082"	"15546970"	64	"55092"
2321779	"EFHD2"	"M2"	2321779	"chr1"	"+"	"15736411"	"15757018"	60	"79180"
2321797	"CTRC"	""	2321797	"chr1"	"+"	"15764961"	"15773496"	60	"11330"
2321813	"CELA2A"	""	2321813	"chr1"	"+"	"15783120"	"15798583"	56	"63036"
2321828	"CELA2B"	""	2321828	"chr1"	"+"	"15802621"	"15818452"	51	"51032"
2321960	"PLEKHM2"	"M2"	2321960	"chr1"	"+"	"16009771"	"16061259"	145	"23207"
2322036	"FBLIM1"	"M20"	2322036	"chr1"	"+"	"16083109"	"16114357"	106	"54751"
2322211	"C1orf64"	""	2322211	"chr1"	"+"	"16330731"	"16339635"	46	"149563"
2322226	"CLCNKA"	""	2322226	"chr1"	"+"	"16345380"	"16360545"	137	"1187"
2322264	"CLCNKB"	""	2322264	"chr1"	"+"	"16368825"	"16383780"	112	"1188"
2323087	"ACTL8"	""	2323087	"chr1"	"+"	"18081818"	"18204213"	84	"81569"
2323172	"IGSF21"	"M20"	2323172	"chr1"	"+"	"18434240"	"18724342"	381	"84966"
2323559	"MRTO4"	"M20"	2323559	"chr1"	"+"	"19578053"	"19586601"	65	"51154"
2323790	"HTR6"	"M15"	2323790	"chr1"	"+"	"19991780"	"20007459"	40	"3362"
